RID,Case ID,Sentence Year,Offender ID,Sex,Age Range,Ethnicity,No. of Charges,Offense Severity Group,Type of Homicide,Type of Sentence,Presence of Witnesses,Time of Crime Commited,Sentence Imposed,Sentence Suspended,Sentence to Serve,Sentence on Probation,Amount (VVCA),Amount (FINE),Amount (REST),Amount (FSUS),Type of Offense
19536,3066817,2013.0,9680669,M,22-30,Black,1.0,M8,,Short Split,Unknown,Morning,8.0,6.0,1.0,18.0,300.0,0.0,0.0,0.0,Weapon
1602,4887006,2021.0,4537700,M,41-50,Black,1.0,M5,,Incarceration,No,Morning,112.0,0.0,84.0,0.0,300.0,0.0,0.0,0.0,Violent
13177,7500328,2015.0,3517197,M,18-21,Black,1.0,M2,Murder II,Incarceration,Unknown,Afternoon,304.0,,228.0,0.0,4500.0,0.0,0.0,0.0,Homicide
12562,607213,2016.0,5110955,M,31-40,Black,1.0,M5,,Incarceration,Unknown,Evening,160.0,0.0,120.0,0.0,600.0,0.0,0.0,0.0,Violent
7802,7777735,2018.0,2347102,M,22-30,Black,1.0,M5,,Incarceration,No,Evening,112.0,0.0,84.0,0.0,300.0,0.0,0.0,0.0,Violent
24211,5720570,2012.0,7125347,M,18-21,Black,1.0,M6,,Incarceration,Yes,Morning,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
13165,7594468,2015.0,6358056,M,22-30,Other or Unknown,1.0,D2,,Short Split,Yes,Evening,40.0,27.0,3.0,12.0,300.0,0.0,0.0,0.0,Drug
17783,5416912,2014.0,1392671,M,18-21,Black,3.0,M8,,Incarceration,No,Afternoon,,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
11041,8306195,2016.0,5479618,M,18-21,Black,2.0,D2,,Incarceration,No,Night,48.0,0.0,36.0,0.0,300.0,0.0,0.0,0.0,Drug
6371,8692838,2019.0,6298371,M,,Black,1.0,,,Short Split,Yes,Night,18.666666666666668,11.0,3.0,24.0,300.0,0.0,0.0,0.0,Property
18883,7525976,2013.0,8984309,M,31-40,Black,2.0,,,Long Split,No,Afternoon,32.0,12.0,12.0,12.0,300.0,0.0,0.0,0.0,Violent
12107,7194154,2016.0,6549594,F,31-40,Black,1.0,,,Incarceration,Unknown,Night,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Violent
12833,8387864,2015.0,742469,F,22-30,Other or Unknown,5.0,M9,,Indeterminate,Unknown,Evening,0.0,0.0,0.0,0.0,0.0,0.0,2230.0,0.0,Property
19407,5812399,2013.0,3296821,M,22-30,Black,2.0,,,Incarceration,Unknown,Evening,18.666666666666668,0.0,14.0,0.0,300.0,0.0,0.0,0.0,Weapon
14343,8963005,2015.0,8914777,M,18-21,Black,,M9,,Incarceration,Unknown,Night,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Other
23673,1374015,2012.0,6740090,M,22-30,Black,1.0,M9,,Incarceration,No,Morning,4.0,0.0,3.0,0.0,300.0,,0.0,0.0,Other
18587,9231828,2013.0,6862856,M,18-21,Black,2.0,M5,,Incarceration,No,Morning,,0.0,60.0,0.0,6000.0,0.0,0.0,0.0,Weapon
10980,4312407,2016.0,6168478,M,22-30,Black,1.0,M7,,Incarceration,Yes,Night,40.0,0.0,30.0,0.0,,0.0,0.0,0.0,Property
11354,4887250,2016.0,436501,M,41-50,Black,1.0,M8,,Probation,Yes,Evening,12.0,9.0,0.0,12.0,300.0,0.0,0.0,0.0,Weapon
23822,4759560,2012.0,8088098,M,22-30,Black,1.0,M9,,Incarceration,No,Night,6.666666666666667,0.0,5.0,0.0,300.0,0.0,0.0,0.0,Other
6469,718929,2019.0,2835588,F,22-30,Black,10.0,M7,,Incarceration,Unknown,Morning,64.0,0.0,,0.0,300.0,0.0,0.0,0.0,Weapon
14034,180131,2015.0,3636215,M,18-21,Black,3.0,M6,,Incarceration,No,Morning,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
12484,6391211,2016.0,5784694,F,51-60,Black,1.0,,,Probation,No,Evening,16.0,12.0,0.0,12.0,300.0,0.0,0.0,,Drug
7758,1630871,2018.0,7464223,M,18-21,Black,2.0,M8,,,No,Evening,21.333333333333332,13.0,3.0,18.0,300.0,0.0,0.0,0.0,Property
17475,430089,2014.0,3962713,M,18-21,Black,2.0,M6,,Incarceration,Unknown,Afternoon,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Violent
8252,3227907,2018.0,2539189,M,22-30,Black,2.0,M2,,Incarceration,No,Evening,213.33333333333334,0.0,160.0,0.0,300.0,0.0,0.0,0.0,Sex
3094,9508385,2020.0,3420428,M,18-21,Black,3.0,M8,,Short Split,Yes,Morning,8.0,6.0,1.0,9.0,300.0,0.0,0.0,0.0,Weapon
6765,5930722,2018.0,6273893,M,,Black,1.0,D3,,Short Split,Yes,Morning,29.333333333333332,16.0,6.0,12.0,300.0,0.0,0.0,0.0,Drug
8790,7387653,2017.0,9610819,M,15-17,Black,5.0,M5,,Incarceration,No,Morning,80.0,0.0,60.0,,300.0,0.0,0.0,0.0,Weapon
7415,9638701,2018.0,3548400,M,18-21,Black,1.0,M5,,Incarceration,No,Afternoon,48.0,0.0,36.0,0.0,300.0,0.0,35.0,0.0,Violent
3624,9716019,2020.0,3592425,M,41-50,Black,1.0,D3,,Probation,Yes,Morning,,10.0,0.0,18.0,300.0,0.0,0.0,0.0,Drug
22972,3495160,2012.0,7812567,F,41-50,Black,1.0,D3,,Probation,No,Evening,16.0,12.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
17442,4661794,2014.0,7575676,F,31-40,,1.0,M9,,Short Split,Unknown,Night,16.0,11.0,1.0,36.0,300.0,0.0,0.0,0.0,Other
11938,3534548,2016.0,2801546,M,41-50,Black,1.0,M9,,Incarceration,No,Evening,72.0,0.0,54.0,0.0,300.0,0.0,0.0,0.0,Other
9827,978312,2017.0,424094,M,18-21,Black,1.0,D4,,Probation,Unknown,Afternoon,16.0,12.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
3228,6446280,2020.0,4738549,M,22-30,Black,1.0,D2,,Incarceration,Unknown,Evening,26.666666666666668,0.0,20.0,0.0,300.0,0.0,0.0,,Drug
5822,8364921,2019.0,7218002,M,22-30,Black,2.0,M5,,Incarceration,No,Night,120.0,0.0,90.0,0.0,300.0,0.0,0.0,0.0,Weapon
6402,9044027,2019.0,6445681,M,22-30,Black,1.0,M8,,Incarceration,No,Afternoon,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Weapon
16431,9972722,2014.0,6395830,M,31-40,Black,1.0,M8,,Long Split,No,Night,32.0,14.0,10.0,18.0,300.0,0.0,0.0,0.0,Violent
10001,3553197,2017.0,9728389,M,,Black,2.0,M5,,Incarceration,Yes,Morning,80.0,0.0,60.0,0.0,300.0,0.0,0.0,0.0,Weapon
2126,3573980,2021.0,4107093,M,51-60,Black,1.0,,,Incarceration,No,Evening,28.0,0.0,21.0,0.0,300.0,0.0,0.0,,Violent
16105,7925399,2014.0,310622,M,22-30,,2.0,M8,,Incarceration,No,Night,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Property
12795,4328048,2016.0,5933759,M,18-21,Black,1.0,M7,,Probation,No,Afternoon,24.0,18.0,0.0,14.0,300.0,0.0,,0.0,Property
10235,866931,2017.0,8009591,M,18-21,Other or Unknown,1.0,,,Incarceration,No,Evening,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
11514,6029753,2016.0,3158840,M,51-60,Black,1.0,M9,,Incarceration,Yes,Evening,4.0,0.0,3.0,0.0,300.0,0.0,0.0,0.0,Other
3878,3478769,2020.0,9249648,M,22-30,Black,1.0,M9,,Short Split,Yes,Night,16.0,12.0,1.0,12.0,300.0,0.0,0.0,0.0,Other
1624,588534,,17335,M,22-30,Black,3.0,M8,,Probation,Unknown,Morning,16.0,12.0,0.0,12.0,300.0,,0.0,0.0,Weapon
3378,1581099,2020.0,5817382,M,15-17,Black,2.0,,,Short Split,No,Evening,26.666666666666668,20.0,1.0,18.0,300.0,,0.0,0.0,Weapon
10085,1967971,2017.0,8040979,M,18-21,Black,1.0,M5,,Incarceration,Unknown,Evening,80.0,0.0,60.0,30.0,750.0,0.0,0.0,0.0,Weapon
1775,3716865,2021.0,2356607,M,18-21,Black,1.0,,,Short Split,Yes,Morning,,12.0,1.0,12.0,300.0,0.0,0.0,0.0,Property
4526,2133640,2019.0,1318031,F,22-30,Black,2.0,M3,,Incarceration,No,Morning,192.0,0.0,144.0,0.0,4500.0,0.0,0.0,0.0,Property
14430,3778870,2015.0,1743378,M,18-21,Black,8.0,M6,,Incarceration,Yes,Evening,80.0,0.0,60.0,0.0,300.0,0.0,0.0,0.0,Violent
10418,4214481,2017.0,4158503,M,,Black,4.0,M7,,Incarceration,Unknown,Morning,26.666666666666668,0.0,20.0,,300.0,0.0,0.0,0.0,Weapon
19889,2739501,2013.0,5996752,M,18-21,Black,2.0,M7,,,Yes,Night,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Weapon
12876,9875544,2015.0,2262933,M,18-21,White,,M5,,Incarceration,Unknown,Afternoon,128.0,0.0,96.0,0.0,300.0,0.0,0.0,0.0,Weapon
2909,5962087,2020.0,9508177,M,,Black,3.0,M4,,Incarceration,No,Morning,192.0,0.0,144.0,0.0,300.0,0.0,0.0,0.0,Violent
243,8240898,2022.0,5718923,M,22-30,Black,1.0,D2,,Probation,No,Afternoon,16.0,12.0,,18.0,300.0,0.0,0.0,0.0,Drug
19233,9137418,2013.0,2089156,M,22-30,Black,5.0,,,Incarceration,Yes,Evening,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Weapon
22361,5120143,2012.0,8640275,M,18-21,Black,2.0,D2,,Incarceration,No,Afternoon,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Drug
4589,7134077,2019.0,9386839,M,,Black,3.0,M5,,Incarceration,Yes,Morning,80.0,0.0,60.0,0.0,300.0,0.0,0.0,0.0,Weapon
20980,3248833,2013.0,8948685,M,15-17,Black,2.0,,,Incarceration,Unknown,Night,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Property
10641,9992032,2016.0,3643169,M,22-30,Black,30.0,,,Incarceration,No,Evening,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Other
2062,6823607,2021.0,1979786,M,41-50,White,1.0,,,Incarceration,Yes,Night,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Violent
24497,3431932,2012.0,6931937,M,41-50,Black,3.0,M7,,Incarceration,Unknown,Morning,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Weapon
7993,8919892,2018.0,9697917,M,31-40,Other or Unknown,1.0,,,Incarceration,Yes,Afternoon,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Weapon
2465,5574266,2020.0,2436234,M,18-21,Black,8.0,M5,,Incarceration,No,Morning,80.0,0.0,60.0,,300.0,0.0,0.0,0.0,Weapon
17206,7128480,2014.0,7084793,M,18-21,Black,1.0,M8,,,Unknown,Afternoon,13.333333333333334,0.0,10.0,0.0,300.0,0.0,0.0,0.0,Violent
6717,3978469,,3700844,M,31-40,Black,1.0,M6,,Incarceration,No,Evening,48.0,0.0,36.0,0.0,300.0,0.0,0.0,0.0,Violent
962,9566200,2021.0,9217964,M,31-40,Black,1.0,,,Probation,Unknown,Night,26.666666666666668,20.0,0.0,12.0,300.0,0.0,0.0,0.0,Other
10256,7208506,2017.0,5148678,M,22-30,Black,1.0,M6,,Incarceration,No,Morning,53.333333333333336,0.0,40.0,0.0,300.0,0.0,0.0,0.0,Violent
2931,162024,2020.0,8264931,M,18-21,Black,1.0,D1,,Incarceration,No,Evening,80.0,0.0,60.0,0.0,300.0,0.0,,0.0,Drug
13719,6128075,2015.0,4329464,M,22-30,Black,,M6,,Incarceration,Unknown,Night,42.666666666666664,0.0,32.0,0.0,300.0,0.0,0.0,0.0,Violent
5617,6927183,2019.0,5921450,M,22-30,Black,1.0,M8,,Short Split,No,Night,32.0,24.0,1.0,24.0,300.0,0.0,0.0,0.0,Violent
12862,8596399,2015.0,1779284,M,18-21,Black,1.0,M1,Murder I,Incarceration,Unknown,Night,640.0,,480.0,0.0,300.0,0.0,0.0,0.0,Homicide
3971,1081574,2020.0,3850845,M,18-21,Black,1.0,,,Long Split,Yes,Evening,144.0,36.0,72.0,36.0,300.0,0.0,0.0,0.0,Violent
13680,2437517,2015.0,3167062,M,41-50,Black,1.0,,,Incarceration,No,Night,80.0,,60.0,,300.0,0.0,0.0,0.0,Weapon
24642,7162569,2012.0,7433979,M,22-30,Black,1.0,D3,,Probation,No,Night,16.0,12.0,0.0,24.0,750.0,0.0,0.0,0.0,Drug
14323,1881139,2015.0,7962533,M,18-21,Black,,M8,,Incarceration,Unknown,Evening,16.0,0.0,,0.0,300.0,0.0,0.0,0.0,Property
4159,7100943,2020.0,5950211,M,51-60,Black,1.0,M9,,Short Split,Yes,Morning,9.333333333333334,4.0,3.0,24.0,300.0,0.0,0.0,0.0,Other
8527,8596142,2018.0,2659593,M,22-30,Black,1.0,M8,,Short Split,Yes,Morning,13.333333333333334,10.0,1.0,12.0,300.0,0.0,0.0,0.0,Violent
7804,4037359,2018.0,4142524,M,22-30,Black,1.0,M5,,,No,Afternoon,128.0,0.0,96.0,0.0,300.0,0.0,0.0,0.0,Violent
7017,9652810,2018.0,2507130,M,31-40,Black,1.0,M3,,Incarceration,Unknown,Evening,176.0,0.0,132.0,0.0,300.0,0.0,0.0,0.0,Sex
17320,1518108,2014.0,8537497,M,31-40,Black,3.0,,,Incarceration,Yes,Evening,8.0,0.0,,0.0,300.0,0.0,0.0,0.0,Property
19224,2963338,2013.0,2541842,,41-50,Black,2.0,M8,,Incarceration,No,Afternoon,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Weapon
8435,3878559,2018.0,2649186,M,,Other or Unknown,1.0,,,Probation,Yes,Afternoon,14.666666666666666,11.0,0.0,36.0,300.0,0.0,0.0,0.0,Property
8746,2922394,2017.0,6687017,M,22-30,Black,4.0,M8,,Incarceration,No,Evening,1.3333333333333333,0.0,1.0,0.0,300.0,0.0,0.0,0.0,Property
8187,1660244,2018.0,8443668,M,18-21,White,6.0,M6,,Short Split,No,Evening,40.0,24.0,6.0,30.0,300.0,0.0,0.0,0.0,Violent
15006,6508050,2015.0,1657257,M,22-30,Black,,,,Probation,Unknown,Afternoon,24.0,18.0,0.0,18.0,300.0,0.0,0.0,0.0,Property
18642,6419497,,2073139,M,18-21,White,5.0,M5,,Incarceration,Unknown,Afternoon,80.0,0.0,60.0,0.0,300.0,0.0,0.0,0.0,Weapon
3612,5555302,2020.0,1397546,M,31-40,Black,1.0,M2,Murder II,Incarceration,No,Morning,,0.0,264.0,0.0,300.0,0.0,0.0,0.0,Homicide
13231,391341,2015.0,8297226,F,22-30,Black,1.0,,,Incarceration,Yes,Night,64.0,0.0,48.0,0.0,1440.0,0.0,0.0,0.0,Sex
1519,852539,,8980773,M,18-21,Black,3.0,M8,,Probation,Yes,Night,16.0,12.0,0.0,12.0,300.0,0.0,0.0,0.0,Other
22747,1153182,2012.0,4328268,M,22-30,Black,1.0,M9,,Incarceration,Unknown,Night,18.666666666666668,0.0,,0.0,300.0,0.0,0.0,0.0,Other
15583,9439823,2014.0,1050888,M,22-30,Black,2.0,M7,,Incarceration,Unknown,Morning,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Sex
21966,5199740,2012.0,8340473,M,31-40,Black,1.0,D2,,Incarceration,Yes,Morning,37.333333333333336,0.0,28.0,0.0,300.0,0.0,0.0,0.0,Drug
7753,5412891,,5110843,M,18-21,Black,1.0,,,Incarceration,Unknown,Morning,21.333333333333332,0.0,16.0,0.0,300.0,0.0,0.0,0.0,Drug
13238,2513390,2015.0,3878462,M,41-50,White,1.0,M8,,Short Split,Yes,Morning,24.0,18.0,1.0,24.0,300.0,0.0,0.0,0.0,Property
1806,9265667,2021.0,6824081,M,18-21,Black,1.0,M8,,Probation,Yes,Night,16.0,12.0,0.0,12.0,300.0,0.0,0.0,0.0,Weapon
23489,6939269,2012.0,7193884,M,18-21,Black,1.0,D3,,Short Split,Unknown,Evening,8.0,6.0,1.0,12.0,300.0,0.0,0.0,0.0,Drug
10963,4141034,2016.0,9324898,M,22-30,Black,2.0,M5,,Incarceration,Yes,Afternoon,96.0,0.0,72.0,0.0,300.0,0.0,0.0,0.0,Weapon
6211,1225589,2019.0,2490512,M,31-40,White,12.0,M7,,,Yes,Morning,48.0,32.0,4.0,,300.0,0.0,0.0,0.0,Violent
2005,4482310,2021.0,9475857,M,,Black,1.0,,,Probation,Unknown,Afternoon,8.0,6.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
2137,3928462,2021.0,5804353,M,22-30,Black,1.0,M8,,Probation,No,Afternoon,8.0,6.0,0.0,12.0,300.0,0.0,0.0,0.0,Weapon
11830,8572077,2016.0,4935395,M,41-50,Black,2.0,D3,,Short Split,No,Night,24.0,12.0,6.0,24.0,300.0,0.0,0.0,0.0,Drug
7205,1165097,2018.0,908982,M,22-30,Black,2.0,,,Probation,Unknown,Night,24.0,18.0,0.0,18.0,300.0,0.0,0.0,0.0,Property
1687,2670050,2021.0,1544247,M,22-30,Black,1.0,M8,,,Unknown,Evening,16.0,12.0,0.0,12.0,300.0,,0.0,0.0,Weapon
17837,7638130,2014.0,9462391,M,,Other or Unknown,2.0,,,Incarceration,Yes,Evening,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Sex
14003,2257559,2015.0,8311988,M,18-21,Black,1.0,M8,,,Yes,Evening,16.0,12.0,0.0,18.0,300.0,0.0,0.0,0.0,Violent
16068,8951659,2014.0,1177966,M,22-30,Black,1.0,,,Incarceration,Yes,Afternoon,48.0,0.0,36.0,0.0,300.0,0.0,0.0,0.0,Weapon
6080,8975639,2019.0,3929377,M,22-30,Black,3.0,M5,,Incarceration,No,Evening,128.0,0.0,96.0,0.0,300.0,0.0,0.0,0.0,Violent
18800,42323,2013.0,1662679,F,51-60,Black,1.0,D2,,Probation,No,Night,16.0,12.0,0.0,18.0,300.0,0.0,0.0,0.0,Drug
19995,6651365,2013.0,4374495,F,18-21,Black,1.0,M8,,Short Split,Unknown,Evening,16.0,12.0,1.0,24.0,300.0,0.0,0.0,0.0,Violent
20694,9024353,2013.0,403102,M,22-30,Black,1.0,,,,No,Evening,32.0,24.0,1.0,18.0,300.0,0.0,0.0,0.0,Violent
9619,2873691,2017.0,6076291,M,41-50,Black,1.0,,,Short Split,No,Night,48.0,36.0,1.0,,300.0,0.0,0.0,0.0,Property
5690,3441194,2019.0,7585147,M,41-50,Black,1.0,M5,,Long Split,No,Afternoon,160.0,60.0,60.0,36.0,300.0,0.0,0.0,0.0,Property
9654,2823924,2017.0,1830024,M,18-21,Black,4.0,M9,,Incarceration,No,Morning,6.666666666666667,0.0,5.0,0.0,300.0,0.0,0.0,0.0,Other
12313,6734088,2016.0,5961667,M,18-21,Black,12.0,M5,,Incarceration,No,Night,16.0,0.0,,0.0,300.0,0.0,0.0,0.0,Violent
21717,9585425,2012.0,5317312,M,22-30,Black,7.0,M2,Murder II,Incarceration,Unknown,Evening,640.0,0.0,480.0,,1500.0,0.0,,0.0,Homicide
1934,7705607,2021.0,6168012,M,18-21,Black,3.0,M6,,Incarceration,No,Afternoon,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Violent
1861,9617649,2021.0,5793287,M,22-30,Black,1.0,M8,,Incarceration,Yes,Morning,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Weapon
23476,7948980,2012.0,2250186,M,,Black,1.0,,,Probation,No,Afternoon,16.0,12.0,0.0,24.0,750.0,0.0,0.0,0.0,Weapon
7533,6313501,2018.0,268375,M,18-21,Black,1.0,,,Incarceration,No,Morning,16.0,0.0,12.0,,300.0,0.0,0.0,0.0,Violent
12733,3452249,2016.0,327419,M,22-30,Black,1.0,M5,,Incarceration,Unknown,Morning,120.0,0.0,90.0,0.0,300.0,0.0,0.0,0.0,Violent
14132,4858213,2015.0,9796732,M,22-30,Black,4.0,M9,,Incarceration,Yes,Morning,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Other
19520,8948497,2013.0,8918910,M,31-40,Black,1.0,M3,Voluntary Manslaughter,Incarceration,No,Morning,180.0,0.0,135.0,0.0,300.0,0.0,,0.0,Homicide
6543,9802112,2019.0,6390525,M,31-40,Black,2.0,M7,,Incarceration,Unknown,Morning,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Weapon
1439,2750536,2021.0,3877929,M,18-21,Black,2.0,,,Short Split,,Night,16.0,12.0,1.0,18.0,300.0,0.0,0.0,0.0,Weapon
5296,3756101,2019.0,3258056,M,,Black,1.0,M3,Voluntary Manslaughter,Incarceration,Yes,Morning,144.0,0.0,108.0,0.0,300.0,0.0,0.0,0.0,Homicide
22560,4491709,2012.0,9996005,M,22-30,Black,10.0,M5,,Incarceration,Unknown,Evening,144.0,0.0,108.0,0.0,300.0,0.0,0.0,0.0,Violent
19384,7489672,2013.0,4869167,M,18-21,Black,1.0,M6,,Incarceration,No,Morning,53.333333333333336,0.0,40.0,0.0,300.0,0.0,0.0,0.0,Violent
23460,6814222,2012.0,9582444,M,31-40,Black,2.0,D2,,Short Split,Yes,Afternoon,21.333333333333332,16.0,1.0,12.0,300.0,0.0,0.0,0.0,Drug
13660,6445844,2015.0,4944368,M,22-30,,2.0,M8,,Probation,No,Evening,,13.0,0.0,18.0,300.0,0.0,0.0,0.0,Property
15250,1889419,2014.0,1230007,M,18-21,Black,3.0,M1,Murder I,Incarceration,No,Afternoon,592.0,0.0,444.0,0.0,300.0,0.0,0.0,0.0,Homicide
6829,8281473,2018.0,2988089,M,41-50,Other or Unknown,1.0,M5,,Incarceration,Yes,Night,80.0,0.0,,0.0,300.0,0.0,0.0,0.0,Violent
18409,3008853,2014.0,4095995,M,31-40,Black,1.0,M8,,Incarceration,No,Morning,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
3674,8108046,2020.0,6053405,M,31-40,,1.0,M8,,Incarceration,Unknown,Evening,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Property
6949,9228526,2018.0,2282870,M,51-60,Black,1.0,D2,,Incarceration,Unknown,Night,37.333333333333336,0.0,28.0,0.0,300.0,0.0,0.0,0.0,Drug
13894,3150206,2015.0,7114420,M,41-50,Other or Unknown,1.0,M9,,Probation,Unknown,Night,16.0,12.0,0.0,60.0,300.0,0.0,8236.5,0.0,Other
24150,8179898,2012.0,4750334,M,18-21,Black,1.0,D2,,Short Split,Unknown,Morning,16.0,8.0,4.0,48.0,300.0,0.0,0.0,0.0,Drug
21774,1544146,2012.0,40465,M,51-60,Black,2.0,M8,,Incarceration,Yes,Evening,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
15680,6411423,2014.0,6967921,M,31-40,Black,1.0,,,Long Split,No,Afternoon,32.0,12.0,12.0,18.0,,0.0,0.0,0.0,Drug
4879,7736851,2019.0,7518559,M,51-60,Black,1.0,,,Probation,Yes,Evening,18.666666666666668,14.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
5456,7251669,2019.0,1645247,M,,Black,1.0,,,,Unknown,Afternoon,,24.0,0.0,12.0,300.0,0.0,0.0,0.0,Violent
12226,4452393,2016.0,4129038,M,22-30,Other or Unknown,1.0,M8,,Incarceration,Yes,Night,24.0,0.0,18.0,0.0,450.0,0.0,0.0,0.0,Violent
1526,8159300,2021.0,1819727,M,41-50,Black,1.0,M9,,Incarceration,Yes,Afternoon,12.0,0.0,9.0,0.0,300.0,0.0,0.0,0.0,Other
21654,482840,2013.0,8674327,M,18-21,Black,1.0,M8,,Incarceration,Unknown,Afternoon,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Violent
9485,8324816,2017.0,1084168,M,,Black,1.0,M8,,Incarceration,Yes,Morning,13.333333333333334,0.0,10.0,0.0,300.0,0.0,0.0,0.0,Violent
12680,3443953,2016.0,7345271,M,18-21,Black,1.0,M8,,Incarceration,No,Evening,13.333333333333334,0.0,10.0,0.0,300.0,0.0,0.0,0.0,Property
13110,9902603,2015.0,5065714,M,18-21,Black,3.0,M2,Murder II,Incarceration,Yes,Evening,400.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,Homicide
5157,889446,2019.0,8041297,M,31-40,Black,1.0,M9,,Incarceration,Unknown,Afternoon,12.0,0.0,9.0,0.0,300.0,0.0,0.0,0.0,Other
20817,9563653,2013.0,3323751,M,22-30,Black,2.0,M3,,Incarceration,No,Morning,160.0,0.0,120.0,0.0,300.0,0.0,0.0,0.0,Violent
2317,712738,2021.0,5416533,M,18-21,Black,3.0,M8,,Short Split,No,Evening,13.333333333333334,10.0,1.0,24.0,300.0,0.0,0.0,0.0,Weapon
10876,6688286,2016.0,8004901,M,41-50,Black,1.0,D2,,Probation,Yes,Morning,26.666666666666668,20.0,0.0,18.0,300.0,0.0,,0.0,Drug
20976,6899392,2013.0,1497724,M,22-30,Black,2.0,,,Incarceration,Unknown,Afternoon,24.0,0.0,18.0,0.0,300.0,0.0,,0.0,Weapon
19897,1584054,2013.0,5143921,M,41-50,Black,1.0,,,Incarceration,No,Morning,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Drug
14141,3749629,2015.0,3029369,M,22-30,Black,1.0,M8,,Short Split,,Night,13.333333333333334,10.0,1.0,12.0,300.0,0.0,0.0,0.0,Violent
9341,681248,2017.0,5372059,M,18-21,Black,1.0,,,Probation,Yes,Evening,16.0,12.0,0.0,18.0,300.0,0.0,,0.0,Violent
14890,2806272,2015.0,6139850,F,31-40,Black,1.0,,,Probation,No,Morning,16.0,12.0,0.0,24.0,300.0,0.0,7600.0,0.0,Property
21258,2193710,2013.0,8518774,F,41-50,Black,1.0,D2,,Long Split,Yes,Afternoon,32.0,16.0,8.0,18.0,300.0,0.0,0.0,0.0,Drug
14102,3507069,2015.0,5152128,M,41-50,Black,1.0,M8,,Incarceration,No,Morning,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Violent
82,5407116,2022.0,8851538,M,22-30,White,2.0,M5,,,Yes,Evening,80.0,0.0,,0.0,300.0,0.0,0.0,0.0,Weapon
21164,1372033,2013.0,6906569,M,15-17,Black,2.0,,,Incarceration,No,Afternoon,37.333333333333336,0.0,28.0,0.0,1350.0,0.0,0.0,0.0,Weapon
5029,5050534,2019.0,3056362,M,22-30,Black,1.0,D3,,Probation,No,Afternoon,18.666666666666668,14.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
22682,9108866,2012.0,8286830,M,41-50,Black,1.0,M7,,Short Split,Unknown,Evening,20.0,10.0,5.0,18.0,750.0,0.0,0.0,0.0,Sex
2687,9516947,2020.0,3240419,M,41-50,Black,1.0,,,,Yes,Evening,21.333333333333332,16.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
3476,312411,2020.0,4388388,M,22-30,Black,1.0,M6,,Long Split,Yes,Afternoon,64.0,24.0,24.0,24.0,300.0,0.0,0.0,0.0,Violent
13361,6964114,2015.0,7593869,M,,Black,,M6,,Incarceration,Unknown,Evening,64.0,0.0,48.0,,300.0,0.0,0.0,0.0,Sex
18988,8524762,2013.0,3899551,M,41-50,Black,1.0,,,Probation,Unknown,Afternoon,37.333333333333336,28.0,0.0,,15000.0,6000.0,0.0,0.0,Violent
22346,6866430,2012.0,3416839,M,22-30,Black,3.0,M7,,Incarceration,Unknown,Morning,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Violent
2480,3581432,2020.0,147825,M,22-30,Black,1.0,M1,Murder I,Incarceration,Unknown,Evening,560.0,0.0,420.0,0.0,300.0,0.0,0.0,0.0,Homicide
